"Model","Item ID","Item Label","Data Stage","Run","Outcome","Main Majority","Prompted Self-Review Majority","Majority Transition"
"Kimi K2.6","BEMA-28","BEMA Q28","prompted self-review probe",1,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","prompted self-review probe",2,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","prompted self-review probe",3,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","prompted self-review probe",4,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","prompted self-review probe",5,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","main item",1,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","main item",2,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","main item",3,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","main item",4,"Incorrect","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","main item",5,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","prompted self-review probe",1,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","prompted self-review probe",2,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","prompted self-review probe",3,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","prompted self-review probe",4,"Correct","C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4","prompted self-review probe",5,"Correct","C","C","C→C"
"GPT-5.5","FCI-21","FCI Q21","main item",1,"Correct","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","main item",2,"Correct","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","main item",3,"Correct","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","main item",4,"Correct","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","main item",5,"Incorrect","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","prompted self-review probe",1,"Incorrect","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","prompted self-review probe",2,"Incorrect","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","prompted self-review probe",3,"Correct","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","prompted self-review probe",4,"Incorrect","C","W","C→W"
"GPT-5.5","FCI-21","FCI Q21","prompted self-review probe",5,"Correct","C","W","C→W"
"GPT-5.5","TCE-21","TCE Q21","main item",1,"Incorrect","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","main item",2,"Incorrect","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","main item",3,"Incorrect","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","main item",4,"Correct","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","main item",5,"Incorrect","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","prompted self-review probe",1,"Incorrect","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","prompted self-review probe",2,"Correct","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","prompted self-review probe",3,"Correct","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","prompted self-review probe",4,"Incorrect","W","W","W→W"
"GPT-5.5","TCE-21","TCE Q21","prompted self-review probe",5,"Incorrect","W","W","W→W"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","main item",1,"Incorrect","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","main item",2,"Incorrect","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","main item",3,"Correct","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","main item",4,"Incorrect","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","main item",5,"Correct","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","prompted self-review probe",1,"Correct","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","prompted self-review probe",2,"Incorrect","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","prompted self-review probe",3,"Correct","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","prompted self-review probe",4,"Incorrect","W","C","W→C"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","prompted self-review probe",5,"Correct","W","C","W→C"
"Claude Opus 4.6","FCI-20","FCI Q20","main item",1,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","main item",2,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","main item",3,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","main item",4,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","main item",5,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","prompted self-review probe",1,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","prompted self-review probe",2,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","prompted self-review probe",3,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","prompted self-review probe",4,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-20","FCI Q20","prompted self-review probe",5,"Incorrect","W","W","W→W"
"Claude Opus 4.6","FCI-14","FCI Q14","main item",1,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","main item",2,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","main item",3,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","main item",4,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","main item",5,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","prompted self-review probe",1,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","prompted self-review probe",2,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","prompted self-review probe",3,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","prompted self-review probe",4,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-14","FCI Q14","prompted self-review probe",5,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","main item",1,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","main item",2,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","main item",3,"Incorrect","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","main item",4,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","main item",5,"Incorrect","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","prompted self-review probe",1,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","prompted self-review probe",2,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","prompted self-review probe",3,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","prompted self-review probe",4,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-26","FCI Q26","prompted self-review probe",5,"Incorrect","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","main item",1,"Incorrect","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","main item",2,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","main item",3,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","main item",4,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","main item",5,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","prompted self-review probe",1,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","prompted self-review probe",2,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","prompted self-review probe",3,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","prompted self-review probe",4,"Correct","C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29","prompted self-review probe",5,"Correct","C","C","C→C"
"Claude Opus 4.6","BEMA-04","BEMA Q4","main item",1,"Incorrect","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","main item",2,"Correct","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","main item",3,"Incorrect","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","main item",4,"Correct","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","main item",5,"Correct","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","prompted self-review probe",1,"Correct","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","prompted self-review probe",2,"Correct","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","prompted self-review probe",3,"Incorrect","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","prompted self-review probe",4,"Incorrect","C","W","C→W"
"Claude Opus 4.6","BEMA-04","BEMA Q4","prompted self-review probe",5,"Incorrect","C","W","C→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","main item",1,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","main item",2,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","main item",3,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","main item",4,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","main item",5,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","prompted self-review probe",1,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","prompted self-review probe",2,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","prompted self-review probe",3,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","prompted self-review probe",4,"Incorrect","W","W","W→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10","prompted self-review probe",5,"Incorrect","W","W","W→W"
