"Model","Item ID","Item Label","Inventory","Correct Runs","Incorrect Runs","DNF Runs","Completed Runs","Distinct Response Classes","Inconsistent Series","Issue Series","Majority Outcome"
"Kimi K2.6","BEMA-30","BEMA Q30","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-31","BEMA Q31","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-01","TCE Q1","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-02","TCE Q2","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-03","TCE Q3","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-04","TCE Q4","TCE",4,1,0,5,2,"yes","yes","Correct"
"Kimi K2.6","TCE-05","TCE Q5","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-06","TCE Q6","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-07","TCE Q7","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-08","TCE Q8","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-09","TCE Q9","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-10","TCE Q10","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-11","TCE Q11","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-12","TCE Q12","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-13","TCE Q13","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-14","TCE Q14","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-15","TCE Q15","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-16","TCE Q16","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-17","TCE Q17","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-18","TCE Q18","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-19","TCE Q19","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-20","TCE Q20","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-21","TCE Q21","TCE",0,5,0,5,1,"no","yes","Completed wrong"
"Kimi K2.6","TCE-22","TCE Q22","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-23","TCE Q23","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-24","TCE Q24","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-25","TCE Q25","TCE",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","TCE-26","TCE Q26","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-01","FCI Q1","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-02","FCI Q2","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-03","FCI Q3","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-04","FCI Q4","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-05","FCI Q5","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-06","FCI Q6","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-07","FCI Q7","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-08","FCI Q8","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-09","FCI Q9","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-10","FCI Q10","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-11","FCI Q11","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-12","FCI Q12","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-13","FCI Q13","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-14","FCI Q14","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-15","FCI Q15","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-16","FCI Q16","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-17","FCI Q17","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-18","FCI Q18","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-19","FCI Q19","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-20","FCI Q20","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-21","FCI Q21","FCI",4,1,0,5,2,"yes","yes","Correct"
"GPT-5.5","FCI-22","FCI Q22","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-23","FCI Q23","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-24","FCI Q24","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-25","FCI Q25","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-26","FCI Q26","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-27","FCI Q27","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-28","FCI Q28","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-29","FCI Q29","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","FCI-30","FCI Q30","FCI",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-01","BEMA Q1","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-02","BEMA Q2","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-03","BEMA Q3","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-04","BEMA Q4","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-05","BEMA Q5","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-06","BEMA Q6","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-07","BEMA Q7","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-08","BEMA Q8","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-09","BEMA Q9","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-10","BEMA Q10","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-11","BEMA Q11","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-12","BEMA Q12","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-13","BEMA Q13","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-14","BEMA Q14","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-15","BEMA Q15","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-16","BEMA Q16","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-17","BEMA Q17","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-18","BEMA Q18","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-19","BEMA Q19","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-20","BEMA Q20","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-21","BEMA Q21","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-22","BEMA Q22","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-23","BEMA Q23","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-24","BEMA Q24","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-25","BEMA Q25","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-26","BEMA Q26","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-27","BEMA Q27","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-28","BEMA Q28","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-29","BEMA Q29","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-30","BEMA Q30","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","BEMA-31","BEMA Q31","BEMA",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-01","TCE Q1","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-02","TCE Q2","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-03","TCE Q3","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-04","TCE Q4","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-05","TCE Q5","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-06","TCE Q6","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-07","TCE Q7","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-08","TCE Q8","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-09","TCE Q9","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-10","TCE Q10","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-11","TCE Q11","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-12","TCE Q12","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-13","TCE Q13","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-14","TCE Q14","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-15","TCE Q15","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-16","TCE Q16","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-17","TCE Q17","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-18","TCE Q18","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-19","TCE Q19","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-20","TCE Q20","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-21","TCE Q21","TCE",1,4,0,5,2,"yes","yes","Completed wrong"
"GPT-5.5","TCE-22","TCE Q22","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-23","TCE Q23","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-24","TCE Q24","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-25","TCE Q25","TCE",5,0,0,5,1,"no","no","Correct"
"GPT-5.5","TCE-26","TCE Q26","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-01","FCI Q1","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-02","FCI Q2","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-03","FCI Q3","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-04","FCI Q4","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-05","FCI Q5","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-06","FCI Q6","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-07","FCI Q7","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-08","FCI Q8","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-09","FCI Q9","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-10","FCI Q10","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-11","FCI Q11","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-12","FCI Q12","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-13","FCI Q13","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-14","FCI Q14","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-15","FCI Q15","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-16","FCI Q16","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-17","FCI Q17","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-18","FCI Q18","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-19","FCI Q19","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",2,3,0,5,2,"yes","yes","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-21","FCI Q21","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-22","FCI Q22","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-23","FCI Q23","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-24","FCI Q24","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-25","FCI Q25","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-26","FCI Q26","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-27","FCI Q27","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-28","FCI Q28","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-29","FCI Q29","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","FCI-30","FCI Q30","FCI",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-01","BEMA Q1","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-02","BEMA Q2","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-03","BEMA Q3","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-04","BEMA Q4","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-05","BEMA Q5","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-06","BEMA Q6","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-07","BEMA Q7","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-08","BEMA Q8","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-09","BEMA Q9","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-10","BEMA Q10","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-11","BEMA Q11","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-12","BEMA Q12","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-13","BEMA Q13","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-14","BEMA Q14","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-15","BEMA Q15","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-16","BEMA Q16","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-17","BEMA Q17","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-18","BEMA Q18","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-19","BEMA Q19","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-20","BEMA Q20","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-21","BEMA Q21","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-22","BEMA Q22","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-23","BEMA Q23","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-24","BEMA Q24","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-25","BEMA Q25","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-26","BEMA Q26","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-27","BEMA Q27","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-28","BEMA Q28","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-29","BEMA Q29","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-30","BEMA Q30","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","BEMA-31","BEMA Q31","BEMA",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-01","TCE Q1","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-02","TCE Q2","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-03","TCE Q3","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",0,5,0,5,1,"no","yes","Completed wrong"
"Gemini 3.1 Pro Preview","TCE-05","TCE Q5","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",0,5,0,5,1,"no","yes","Completed wrong"
"Gemini 3.1 Pro Preview","TCE-07","TCE Q7","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-08","TCE Q8","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-09","TCE Q9","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-10","TCE Q10","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-11","TCE Q11","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-12","TCE Q12","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-13","TCE Q13","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-14","TCE Q14","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-15","TCE Q15","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-16","TCE Q16","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-17","TCE Q17","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-18","TCE Q18","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-19","TCE Q19","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-20","TCE Q20","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-21","TCE Q21","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-22","TCE Q22","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-23","TCE Q23","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-24","TCE Q24","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-25","TCE Q25","TCE",5,0,0,5,1,"no","no","Correct"
"Gemini 3.1 Pro Preview","TCE-26","TCE Q26","TCE",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-01","FCI Q1","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-02","FCI Q2","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-03","FCI Q3","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-04","FCI Q4","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-05","FCI Q5","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-06","FCI Q6","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-07","FCI Q7","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-08","FCI Q8","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-09","FCI Q9","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-10","FCI Q10","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-11","FCI Q11","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-12","FCI Q12","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-13","FCI Q13","FCI",5,0,0,5,1,"no","no","Correct"
"Claude Opus 4.6","FCI-14","FCI Q14","FCI",5,0,0,5,2,"yes","yes","Correct"
