"Model","Item ID","Item Label","Inventory","Run","AC","Outcome"
"GPT-5.5","FCI-12","FCI Q12","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-12","FCI Q12","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-12","FCI Q12","FCI",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-12","FCI Q12","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-12","FCI Q12","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-12","FCI Q12","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-12","FCI Q12","FCI",3,"AC-1","Correct"
"GPT-5.5","FCI-12","FCI Q12","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-12","FCI Q12","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-12","FCI Q12","FCI",5,"AC-2","Completed wrong"
"Kimi K2.6","FCI-12","FCI Q12","FCI",2,"AC-2","Completed wrong"
"Kimi K2.6","FCI-12","FCI Q12","FCI",3,"AC-2","Completed wrong"
"Kimi K2.6","FCI-12","FCI Q12","FCI",4,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-14","FCI Q14","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-14","FCI Q14","FCI",5,"AC-1","Correct"
"Claude Opus 4.6","FCI-14","FCI Q14","FCI",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-14","FCI Q14","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-14","FCI Q14","FCI",5,"AC-1","Correct"
"Claude Opus 4.6","FCI-14","FCI Q14","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-14","FCI Q14","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-14","FCI Q14","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-14","FCI Q14","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-14","FCI Q14","FCI",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-14","FCI Q14","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-14","FCI Q14","FCI",2,"AC-1","Correct"
"Claude Opus 4.6","FCI-14","FCI Q14","FCI",1,"AC-1","Correct"
"Claude Opus 4.6","FCI-14","FCI Q14","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-14","FCI Q14","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-14","FCI Q14","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-14","FCI Q14","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-14","FCI Q14","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-14","FCI Q14","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-14","FCI Q14","FCI",2,"AC-1","Correct"
"Claude Opus 4.6","FCI-19","FCI Q19","FCI",4,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-19","FCI Q19","FCI",5,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-19","FCI Q19","FCI",3,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-19","FCI Q19","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-19","FCI Q19","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-19","FCI Q19","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-19","FCI Q19","FCI",4,"AC-3","DNF"
"Kimi K2.6","FCI-19","FCI Q19","FCI",5,"AC-3","DNF"
"Gemini 3.1 Pro Preview","FCI-19","FCI Q19","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-19","FCI Q19","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-19","FCI Q19","FCI",2,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-19","FCI Q19","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-19","FCI Q19","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-19","FCI Q19","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-19","FCI Q19","FCI",3,"AC-3","DNF"
"Gemini 3.1 Pro Preview","FCI-19","FCI Q19","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-19","FCI Q19","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-19","FCI Q19","FCI",1,"AC-3","DNF"
"Claude Opus 4.6","FCI-19","FCI Q19","FCI",1,"AC-2","Completed wrong"
"Kimi K2.6","FCI-19","FCI Q19","FCI",2,"AC-3","DNF"
"Claude Opus 4.6","FCI-20","FCI Q20","FCI",2,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-20","FCI Q20","FCI",3,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-20","FCI Q20","FCI",4,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-20","FCI Q20","FCI",1,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",1,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",2,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-20","FCI Q20","FCI",5,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-20","FCI Q20","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-20","FCI Q20","FCI",5,"AC-2","Completed wrong"
"GPT-5.5","FCI-20","FCI Q20","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",4,"AC-2","Completed wrong"
"GPT-5.5","FCI-20","FCI Q20","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-20","FCI Q20","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-20","FCI Q20","FCI",1,"AC-2","Completed wrong"
"GPT-5.5","FCI-20","FCI Q20","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-20","FCI Q20","FCI",4,"AC-2","Completed wrong"
"Kimi K2.6","FCI-20","FCI Q20","FCI",3,"AC-2","Completed wrong"
"Kimi K2.6","FCI-20","FCI Q20","FCI",2,"AC-3","DNF"
"Claude Opus 4.6","FCI-21","FCI Q21","FCI",4,"AC-2","Completed wrong"
"Kimi K2.6","FCI-21","FCI Q21","FCI",5,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-21","FCI Q21","FCI",5,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-21","FCI Q21","FCI",5,"AC-1","Correct"
"Claude Opus 4.6","FCI-21","FCI Q21","FCI",3,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-21","FCI Q21","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-21","FCI Q21","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-21","FCI Q21","FCI",4,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-21","FCI Q21","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-21","FCI Q21","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-21","FCI Q21","FCI",5,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-21","FCI Q21","FCI",2,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-21","FCI Q21","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-21","FCI Q21","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-21","FCI Q21","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-21","FCI Q21","FCI",3,"AC-2","Completed wrong"
"GPT-5.5","FCI-21","FCI Q21","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-21","FCI Q21","FCI",1,"AC-2","Completed wrong"
"Kimi K2.6","FCI-21","FCI Q21","FCI",1,"AC-2","Completed wrong"
"Kimi K2.6","FCI-21","FCI Q21","FCI",2,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-26","FCI Q26","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-26","FCI Q26","FCI",5,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-26","FCI Q26","FCI",3,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-26","FCI Q26","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-26","FCI Q26","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-26","FCI Q26","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-26","FCI Q26","FCI",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-26","FCI Q26","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-26","FCI Q26","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-26","FCI Q26","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-26","FCI Q26","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-26","FCI Q26","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-26","FCI Q26","FCI",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-26","FCI Q26","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-26","FCI Q26","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-26","FCI Q26","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-26","FCI Q26","FCI",2,"AC-1","Correct"
"Kimi K2.6","FCI-26","FCI Q26","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-26","FCI Q26","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-26","FCI Q26","FCI",5,"AC-1","Correct"
"Claude Opus 4.6","FCI-29","FCI Q29","FCI",1,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-29","FCI Q29","FCI",2,"AC-1","Correct"
"Claude Opus 4.6","FCI-29","FCI Q29","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-29","FCI Q29","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-29","FCI Q29","FCI",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-29","FCI Q29","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-29","FCI Q29","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-29","FCI Q29","FCI",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-29","FCI Q29","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-29","FCI Q29","FCI",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-29","FCI Q29","FCI",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-29","FCI Q29","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-29","FCI Q29","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-29","FCI Q29","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-29","FCI Q29","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-29","FCI Q29","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-29","FCI Q29","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-29","FCI Q29","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-29","FCI Q29","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-29","FCI Q29","FCI",2,"AC-1","Correct"
"Claude Opus 4.6","BEMA-04","BEMA Q4","BEMA",4,"AC-1","Correct"
"Claude Opus 4.6","BEMA-04","BEMA Q4","BEMA",5,"AC-1","Correct"
"Kimi K2.6","BEMA-04","BEMA Q4","BEMA",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-04","BEMA Q4","BEMA",3,"AC-1","Correct"
"Claude Opus 4.6","BEMA-04","BEMA Q4","BEMA",3,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","BEMA-04","BEMA Q4","BEMA",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-04","BEMA Q4","BEMA",5,"AC-1","Correct"
"GPT-5.5","BEMA-04","BEMA Q4","BEMA",5,"AC-1","Correct"
"Kimi K2.6","BEMA-04","BEMA Q4","BEMA",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-04","BEMA Q4","BEMA",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-04","BEMA Q4","BEMA",4,"AC-1","Correct"
"GPT-5.5","BEMA-04","BEMA Q4","BEMA",4,"AC-1","Correct"
"Claude Opus 4.6","BEMA-04","BEMA Q4","BEMA",2,"AC-1","Correct"
"GPT-5.5","BEMA-04","BEMA Q4","BEMA",2,"AC-1","Correct"
"GPT-5.5","BEMA-04","BEMA Q4","BEMA",3,"AC-1","Correct"
"Kimi K2.6","BEMA-04","BEMA Q4","BEMA",3,"AC-1","Correct"
"GPT-5.5","BEMA-04","BEMA Q4","BEMA",1,"AC-1","Correct"
"Kimi K2.6","BEMA-04","BEMA Q4","BEMA",1,"AC-1","Correct"
"Claude Opus 4.6","BEMA-04","BEMA Q4","BEMA",1,"AC-2","Completed wrong"
"Kimi K2.6","BEMA-04","BEMA Q4","BEMA",2,"AC-1","Correct"
"Claude Opus 4.6","BEMA-10","BEMA Q10","BEMA",4,"AC-2","Completed wrong"
"Claude Opus 4.6","BEMA-10","BEMA Q10","BEMA",3,"AC-2","Completed wrong"
"Claude Opus 4.6","BEMA-10","BEMA Q10","BEMA",2,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","BEMA-10","BEMA Q10","BEMA",3,"AC-1","Correct"
"Claude Opus 4.6","BEMA-10","BEMA Q10","BEMA",5,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","BEMA-10","BEMA Q10","BEMA",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-10","BEMA Q10","BEMA",2,"AC-1","Correct"
"GPT-5.5","BEMA-10","BEMA Q10","BEMA",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-10","BEMA Q10","BEMA",4,"AC-1","Correct"
"Claude Opus 4.6","BEMA-10","BEMA Q10","BEMA",1,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","BEMA-10","BEMA Q10","BEMA",1,"AC-1","Correct"
"GPT-5.5","BEMA-10","BEMA Q10","BEMA",1,"AC-1","Correct"
"Kimi K2.6","BEMA-10","BEMA Q10","BEMA",1,"AC-1","Correct"
"GPT-5.5","BEMA-10","BEMA Q10","BEMA",3,"AC-1","Correct"
"GPT-5.5","BEMA-10","BEMA Q10","BEMA",4,"AC-1","Correct"
"GPT-5.5","BEMA-10","BEMA Q10","BEMA",5,"AC-1","Correct"
"Kimi K2.6","BEMA-10","BEMA Q10","BEMA",5,"AC-1","Correct"
"Kimi K2.6","BEMA-10","BEMA Q10","BEMA",2,"AC-1","Correct"
"Kimi K2.6","BEMA-10","BEMA Q10","BEMA",3,"AC-1","Correct"
"Kimi K2.6","BEMA-10","BEMA Q10","BEMA",4,"AC-1","Correct"
"Claude Opus 4.6","BEMA-24","BEMA Q24","BEMA",4,"AC-1","Correct"
"Kimi K2.6","BEMA-24","BEMA Q24","BEMA",5,"AC-3","DNF"
"Claude Opus 4.6","BEMA-24","BEMA Q24","BEMA",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-24","BEMA Q24","BEMA",5,"AC-1","Correct"
"GPT-5.5","BEMA-24","BEMA Q24","BEMA",5,"AC-1","Correct"
"Claude Opus 4.6","BEMA-24","BEMA Q24","BEMA",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-24","BEMA Q24","BEMA",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-24","BEMA Q24","BEMA",4,"AC-1","Correct"
"GPT-5.5","BEMA-24","BEMA Q24","BEMA",4,"AC-1","Correct"
"Kimi K2.6","BEMA-24","BEMA Q24","BEMA",4,"AC-3","DNF"
"Gemini 3.1 Pro Preview","BEMA-24","BEMA Q24","BEMA",2,"AC-1","Correct"
"GPT-5.5","BEMA-24","BEMA Q24","BEMA",2,"AC-1","Correct"
"Claude Opus 4.6","BEMA-24","BEMA Q24","BEMA",1,"AC-1","Correct"
"Claude Opus 4.6","BEMA-24","BEMA Q24","BEMA",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-24","BEMA Q24","BEMA",1,"AC-1","Correct"
"GPT-5.5","BEMA-24","BEMA Q24","BEMA",1,"AC-1","Correct"
"GPT-5.5","BEMA-24","BEMA Q24","BEMA",3,"AC-1","Correct"
"Kimi K2.6","BEMA-24","BEMA Q24","BEMA",3,"AC-1","Correct"
"Kimi K2.6","BEMA-24","BEMA Q24","BEMA",1,"AC-1","Correct"
"Kimi K2.6","BEMA-24","BEMA Q24","BEMA",2,"AC-3","DNF"
"Claude Opus 4.6","BEMA-28","BEMA Q28","BEMA",4,"AC-1","Correct"
"Claude Opus 4.6","BEMA-28","BEMA Q28","BEMA",5,"AC-1","Correct"
"Claude Opus 4.6","BEMA-28","BEMA Q28","BEMA",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-28","BEMA Q28","BEMA",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-28","BEMA Q28","BEMA",5,"AC-1","Correct"
"GPT-5.5","BEMA-28","BEMA Q28","BEMA",5,"AC-1","Correct"
"Kimi K2.6","BEMA-28","BEMA Q28","BEMA",4,"AC-1","Correct"
"Kimi K2.6","BEMA-28","BEMA Q28","BEMA",5,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","BEMA-28","BEMA Q28","BEMA",4,"AC-1","Correct"
"GPT-5.5","BEMA-28","BEMA Q28","BEMA",4,"AC-1","Correct"
"Claude Opus 4.6","BEMA-28","BEMA Q28","BEMA",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-28","BEMA Q28","BEMA",2,"AC-1","Correct"
"GPT-5.5","BEMA-28","BEMA Q28","BEMA",2,"AC-1","Correct"
"GPT-5.5","BEMA-28","BEMA Q28","BEMA",3,"AC-1","Correct"
"Kimi K2.6","BEMA-28","BEMA Q28","BEMA",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","BEMA-28","BEMA Q28","BEMA",1,"AC-1","Correct"
"GPT-5.5","BEMA-28","BEMA Q28","BEMA",1,"AC-1","Correct"
"Kimi K2.6","BEMA-28","BEMA Q28","BEMA",1,"AC-1","Correct"
"Claude Opus 4.6","BEMA-28","BEMA Q28","BEMA",1,"AC-1","Correct"
"Kimi K2.6","BEMA-28","BEMA Q28","BEMA",2,"AC-2","Completed wrong"
"Claude Opus 4.6","TCE-04","TCE Q4","TCE",2,"AC-1","Correct"
"Claude Opus 4.6","TCE-04","TCE Q4","TCE",3,"AC-1","Correct"
"Claude Opus 4.6","TCE-04","TCE Q4","TCE",4,"AC-1","Correct"
"Claude Opus 4.6","TCE-04","TCE Q4","TCE",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",1,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",2,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",3,"AC-2","Completed wrong"
"Claude Opus 4.6","TCE-04","TCE Q4","TCE",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",5,"AC-2","Completed wrong"
"GPT-5.5","TCE-04","TCE Q4","TCE",5,"AC-1","Correct"
"Kimi K2.6","TCE-04","TCE Q4","TCE",5,"AC-1","Correct"
"GPT-5.5","TCE-04","TCE Q4","TCE",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",4,"AC-2","Completed wrong"
"GPT-5.5","TCE-04","TCE Q4","TCE",4,"AC-1","Correct"
"GPT-5.5","TCE-04","TCE Q4","TCE",1,"AC-1","Correct"
"Kimi K2.6","TCE-04","TCE Q4","TCE",1,"AC-1","Correct"
"GPT-5.5","TCE-04","TCE Q4","TCE",3,"AC-1","Correct"
"Kimi K2.6","TCE-04","TCE Q4","TCE",4,"AC-2","Completed wrong"
"Kimi K2.6","TCE-04","TCE Q4","TCE",3,"AC-1","Correct"
"Kimi K2.6","TCE-04","TCE Q4","TCE",2,"AC-1","Correct"
"Claude Opus 4.6","TCE-06","TCE Q6","TCE",4,"AC-1","Correct"
"Kimi K2.6","TCE-06","TCE Q6","TCE",5,"AC-1","Correct"
"Claude Opus 4.6","TCE-06","TCE Q6","TCE",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",5,"AC-2","Completed wrong"
"Claude Opus 4.6","TCE-06","TCE Q6","TCE",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",3,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",4,"AC-2","Completed wrong"
"Kimi K2.6","TCE-06","TCE Q6","TCE",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",2,"AC-2","Completed wrong"
"GPT-5.5","TCE-06","TCE Q6","TCE",2,"AC-1","Correct"
"GPT-5.5","TCE-06","TCE Q6","TCE",5,"AC-1","Correct"
"Claude Opus 4.6","TCE-06","TCE Q6","TCE",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",1,"AC-2","Completed wrong"
"GPT-5.5","TCE-06","TCE Q6","TCE",1,"AC-1","Correct"
"GPT-5.5","TCE-06","TCE Q6","TCE",4,"AC-1","Correct"
"Kimi K2.6","TCE-06","TCE Q6","TCE",3,"AC-1","Correct"
"GPT-5.5","TCE-06","TCE Q6","TCE",3,"AC-1","Correct"
"Claude Opus 4.6","TCE-06","TCE Q6","TCE",1,"AC-1","Correct"
"Kimi K2.6","TCE-06","TCE Q6","TCE",1,"AC-1","Correct"
"Kimi K2.6","TCE-06","TCE Q6","TCE",2,"AC-1","Correct"
"Claude Opus 4.6","TCE-21","TCE Q21","TCE",4,"AC-1","Correct"
"Claude Opus 4.6","TCE-21","TCE Q21","TCE",5,"AC-1","Correct"
"Claude Opus 4.6","TCE-21","TCE Q21","TCE",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-21","TCE Q21","TCE",3,"AC-1","Correct"
"Claude Opus 4.6","TCE-21","TCE Q21","TCE",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-21","TCE Q21","TCE",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-21","TCE Q21","TCE",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-21","TCE Q21","TCE",5,"AC-1","Correct"
"GPT-5.5","TCE-21","TCE Q21","TCE",4,"AC-1","Correct"
"GPT-5.5","TCE-21","TCE Q21","TCE",5,"AC-2","Completed wrong"
"GPT-5.5","TCE-21","TCE Q21","TCE",2,"AC-2","Completed wrong"
"GPT-5.5","TCE-21","TCE Q21","TCE",3,"AC-2","Completed wrong"
"Claude Opus 4.6","TCE-21","TCE Q21","TCE",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","TCE-21","TCE Q21","TCE",1,"AC-1","Correct"
"GPT-5.5","TCE-21","TCE Q21","TCE",1,"AC-2","Completed wrong"
"Kimi K2.6","TCE-21","TCE Q21","TCE",1,"AC-2","Completed wrong"
"Kimi K2.6","TCE-21","TCE Q21","TCE",2,"AC-2","Completed wrong"
"Kimi K2.6","TCE-21","TCE Q21","TCE",3,"AC-2","Completed wrong"
"Kimi K2.6","TCE-21","TCE Q21","TCE",4,"AC-2","Completed wrong"
"Kimi K2.6","TCE-21","TCE Q21","TCE",5,"AC-2","Completed wrong"
