Model,Data Stage,Item ID,Original Item ID,Inventory,Run,Response Class,Completion Status,Reasoning Source,Has Figure,Number of Figures,Confidence Raw,Confidence Normalized,AC,RC,Rep,Rep-LM,AD,CB,SRF,SRF-sub,CI,AT,CQ,EVAL,ML
Claude Opus 4.6,main item,FCI-12,,FCI,3,class_1,completed,visible output,true,1,85,0.85,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-12,,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-12,,FCI,5,class_1,completed,visible output,true,1,85,0.85,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-13,,FCI,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-13,,FCI,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-13,,FCI,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-13,,FCI,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-13,,FCI,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-14,,FCI,1,class_2,completed,visible output,true,1,6,0.6,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-14,,FCI,2,class_3,completed,visible output,true,1,6,0.6,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-14,,FCI,3,class_2,completed,visible output,true,1,7,0.7,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-14,,FCI,4,class_2,completed,visible output,true,1,7,0.7,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-14,,FCI,5,class_2,completed,visible output,true,1,7,0.7,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-15,,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-15,,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-15,,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-15,,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-15,,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-16,,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-16,,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-16,,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-16,,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-16,,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-17,,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-17,,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-17,,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-17,,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-17,,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-18,,FCI,1,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-18,,FCI,2,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-18,,FCI,3,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-18,,FCI,4,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-18,,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-19,,FCI,1,class_1,completed,visible output,true,1,92,0.92,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-19,,FCI,2,class_1,completed,visible output,true,1,92,0.92,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-19,,FCI,3,class_1,completed,visible output,true,1,92,0.92,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-19,,FCI,4,class_1,completed,visible output,true,1,95,0.95,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-19,,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-20,,FCI,1,class_3,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-20,,FCI,2,class_3,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-20,,FCI,3,class_3,completed,visible output,true,1,7,0.7,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-20,,FCI,4,class_1,completed,visible output,true,1,6,0.6,AC-2,RC-3,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-20,,FCI,5,class_1,completed,visible output,true,1,8,0.8,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-21,,FCI,1,class_3,completed,visible output,true,2,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-21,,FCI,2,class_3,completed,visible output,true,2,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-21,,FCI,3,class_3,completed,visible output,true,2,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-21,,FCI,4,class_3,completed,visible output,true,2,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-21,,FCI,5,class_3,completed,visible output,true,2,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,main item,FCI-22,,FCI,1,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-22,,FCI,2,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-22,,FCI,3,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-22,,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-22,,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-23,,FCI,1,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-23,,FCI,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-23,,FCI,3,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-23,,FCI,4,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-23,,FCI,5,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-24,,FCI,1,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-24,,FCI,2,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-24,,FCI,3,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-24,,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-24,,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-25,,FCI,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-25,,FCI,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-25,,FCI,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-25,,FCI,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-25,,FCI,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-26,,FCI,1,class_2,completed,visible output,false,0,95,0.95,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-26,,FCI,2,class_2,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-26,,FCI,3,class_1,completed,visible output,false,0,8,0.8,AC-2,RC-2,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-26,,FCI,4,class_2,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-26,,FCI,5,class_1,completed,visible output,false,0,7,0.7,AC-2,RC-2,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-27,,FCI,1,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-27,,FCI,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-27,,FCI,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-27,,FCI,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-27,,FCI,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-28,,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-28,,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-28,,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-28,,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-28,,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,FCI-29,,FCI,1,class_1,completed,visible output,false,0,5,0.5,AC-2,RC-2,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-29,,FCI,2,class_2,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-29,,FCI,3,class_2,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-29,,FCI,4,class_2,completed,visible output,false,0,92,0.92,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-29,,FCI,5,class_2,completed,visible output,false,0,8,0.8,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-30,,FCI,1,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-30,,FCI,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-30,,FCI,3,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-30,,FCI,4,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,FCI-30,,FCI,5,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,main item,BEMA-01,,BEMA,1,class_1,completed,visible output,true,2,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,BEMA-01,,BEMA,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,BEMA-01,,BEMA,3,class_1,completed,visible output,true,2,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,BEMA-01,,BEMA,4,class_1,completed,visible output,true,2,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,BEMA-01,,BEMA,5,class_1,completed,visible output,true,2,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,BEMA-02,,BEMA,1,class_1,completed,visible output,true,2,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,main item,BEMA-02,,BEMA,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
