"Model","Original Item ID","Variant ID","Main Majority Outcome","Variant Majority Outcome","Transition","Retained Original Answer Letter"
"Gemini 3.1 Pro Preview","FCI-10","V-012","C","C","C→C","no"
"Gemini 3.1 Pro Preview","FCI-15","V-013","C","C","C→C","no"
"Gemini 3.1 Pro Preview","FCI-19","V-014","C","C","C→C","no"
"Gemini 3.1 Pro Preview","FCI-24","V-015","C","C","C→C","no"
"Gemini 3.1 Pro Preview","FCI-27","V-016","C","C","C→C","no"
"Gemini 3.1 Pro Preview","FCI-30","V-017","C","C","C→C","no"
"Gemini 3.1 Pro Preview","TCE-01","V-018","C","C","C→C","yes"
"Gemini 3.1 Pro Preview","TCE-02","V-019","C","C","C→C","yes"
"Gemini 3.1 Pro Preview","TCE-05","V-020","C","C","C→C","yes"
"Gemini 3.1 Pro Preview","TCE-07","V-021","C","C","C→C","yes"
"Gemini 3.1 Pro Preview","TCE-09","V-022","C","C","C→C","no"
"Gemini 3.1 Pro Preview","TCE-12","V-023","C","C","C→C","no"
"Gemini 3.1 Pro Preview","TCE-19","V-024","C","C","C→C","no"
"Gemini 3.1 Pro Preview","TCE-21","V-025","C","C","C→C","no"
"Claude Opus 4.6","BEMA-03","V-001","C","C","C→C","no"
"Claude Opus 4.6","BEMA-04","V-002","C","C","C→C","no"
"Claude Opus 4.6","BEMA-08","V-003","C","C","C→C","no"
"Claude Opus 4.6","BEMA-09","V-004","C","C","C→C","no"
"Claude Opus 4.6","BEMA-19","V-005","C","C","C→C","no"
"Claude Opus 4.6","BEMA-24","V-006","C","C","C→C","no"
"Claude Opus 4.6","BEMA-26","V-007","C","C","C→C","no"
"Claude Opus 4.6","BEMA-29","V-008","C","C","C→C","no"
"Claude Opus 4.6","FCI-02","V-009","C","C","C→C","no"
"Claude Opus 4.6","FCI-05","V-010","C","C","C→C","no"
"Claude Opus 4.6","FCI-07","V-011","C","W","C→W","no"
"Claude Opus 4.6","FCI-10","V-012","C","C","C→C","no"
"Claude Opus 4.6","FCI-15","V-013","C","C","C→C","no"
"Claude Opus 4.6","FCI-19","V-014","W","W","W→W","no"
"Claude Opus 4.6","FCI-24","V-015","C","C","C→C","no"
"Claude Opus 4.6","FCI-27","V-016","C","C","C→C","no"
"Claude Opus 4.6","FCI-30","V-017","C","C","C→C","no"
"Claude Opus 4.6","TCE-01","V-018","C","C","C→C","yes"
"Claude Opus 4.6","TCE-02","V-019","C","C","C→C","yes"
"Claude Opus 4.6","TCE-05","V-020","C","C","C→C","yes"
"Claude Opus 4.6","TCE-07","V-021","C","C","C→C","yes"
"Claude Opus 4.6","TCE-09","V-022","C","C","C→C","no"
"Claude Opus 4.6","TCE-12","V-023","C","C","C→C","no"
"Claude Opus 4.6","TCE-19","V-024","C","C","C→C","no"
"Claude Opus 4.6","TCE-21","V-025","C","C","C→C","no"
